id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
versatile-stack,The Versatile Stack,"A tall seven-tier unit in a calm sage green finish. Designed to offer maximum vertical storage for your books, baskets, and art while keeping a clean, slim footprint.",in stock,new,28500.00 KES,https://www.framework.co.ke/shelving.html?config=versatile-stack,https://www.framework.co.ke/images/shelving/configs/versatile-stack-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/versatile-stack-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/versatile-stack-angle.jpg, https://www.framework.co.ke/images/shelving/configs/versatile-stack-under-mdf.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
stepped-stack,The Stepped Stack,"An asymmetric, stepped design that offers plenty of shelving at varying heights. Perfect for showcasing a mix of books, art, and larger collectibles.",in stock,new,31500.00 KES,https://www.framework.co.ke/shelving.html?config=stepped-stack,https://www.framework.co.ke/images/shelving/configs/stepped-stack-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/stepped-stack-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/stepped-stack-angle.jpg, https://www.framework.co.ke/images/shelving/configs/stepped-stack-under-mdf.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
dynamic-corner,Dynamic Corner,Turn that forgotten corner into the most interesting part of your space.,in stock,new,36000.00 KES,https://www.framework.co.ke/shelving.html?config=dynamic-corner,https://www.framework.co.ke/images/shelving/configs/dynamic-corner-populated.jpg,https://www.framework.co.ke/images/shelving/configs/dynamic-corner-emptied.jpg,Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
asymmetric-display,The Curator's Shelf,"Features asymmetrical shelf heights that create unique pockets for books, art, and hanging decorations. Built from steel and engineered wood in our Nairobi workshop.",in stock,new,36500.00 KES,https://www.framework.co.ke/shelving.html?config=asymmetric-display,https://www.framework.co.ke/images/shelving/configs/asymmetric-display-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/asymmetric-display-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/asymmetric-display-angle.jpg, https://www.framework.co.ke/images/shelving/configs/asymmetric-display-foot.jpg, https://www.framework.co.ke/images/shelving/configs/asymmetric-display-joint.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
offset-shelf,The Offset Shelf,"An asymmetrical, multi-level configuration that pairs a tall tower with a lower side unit. Perfect for displaying art, books, and plants at varying heights to create a dynamic focal point in your space.",in stock,new,37000.00 KES,https://www.framework.co.ke/shelving.html?config=offset-shelf,https://www.framework.co.ke/images/shelving/configs/offset-shelf-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/offset-shelf-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/offset-shelf-angle.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
wardrobe-shelf,The Wardrobe Shelf,"Combines an integrated hanging rail with two spacious lower shelves for baskets, books, or folded clothes. Built from steel in our Nairobi workshop to keep your space organized and airy.",in stock,new,43000.00 KES,https://www.framework.co.ke/shelving.html?config=wardrobe-shelf,https://www.framework.co.ke/images/shelving/configs/wardrobe-shelf-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/wardrobe-shelf-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/wardrobe-shelf-front.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
deep-stack,The Deep Stack,"A tall, five-tier shelving unit finished in a calming sage green. Its deep profile makes it perfect for displaying books, baskets, and collectibles in smaller spaces.",in stock,new,43500.00 KES,https://www.framework.co.ke/shelving.html?config=deep-stack,https://www.framework.co.ke/images/shelving/configs/deep-stack-populated.jpg,https://www.framework.co.ke/images/shelving/configs/deep-stack-emptied.jpg,Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
double-bay,The Double Bay,"A spacious ten-shelf setup that offers plenty of room for your books, crafts, and collectibles. The double-width design makes a bold statement in any living room or creative studio.",in stock,new,46000.00 KES,https://www.framework.co.ke/shelving.html?config=double-bay,https://www.framework.co.ke/images/shelving/configs/double-bay-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/double-bay-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/double-bay-angle.jpg, https://www.framework.co.ke/images/shelving/configs/double-bay-under-mdf.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
stepped-display,The Stepped Display,"Combines low-level shelving with a tall display stack in a striking asymmetric design. Perfect for showing off books, art, and your favorite collections.",in stock,new,46000.00 KES,https://www.framework.co.ke/shelving.html?config=stepped-display,https://www.framework.co.ke/images/shelving/configs/stepped-display-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/stepped-display-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/stepped-display-angle.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
high-low,The High-Low,"Pairs a low-slung console with a tall shelving tower for a striking asymmetrical look. Perfect for displaying books, baskets, and art at different heights.",in stock,new,51000.00 KES,https://www.framework.co.ke/shelving.html?config=high-low,https://www.framework.co.ke/images/shelving/configs/high-low-populated.jpg,https://www.framework.co.ke/images/shelving/configs/high-low-emptied.jpg,Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
stepped-duo,The Stepped Duo,"Combines a low three-tier unit with an extra-tall stack for a playful, dynamic silhouette. Perfect for organizing colorful baskets, books, and your favorite art pieces.",in stock,new,53000.00 KES,https://www.framework.co.ke/shelving.html?config=stepped-duo,https://www.framework.co.ke/images/shelving/configs/stepped-duo-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/stepped-duo-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/stepped-duo-angle.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
triple-bay,The Triple Bay,"Three connected columns offer generous, easy-to-reach storage while keeping a low profile. Perfect for organizing books, baskets, and toys in any living space.",in stock,new,69000.00 KES,https://www.framework.co.ke/shelving.html?config=triple-bay,https://www.framework.co.ke/images/shelving/configs/triple-bay-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/triple-bay-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/triple-bay-angle.jpg, https://www.framework.co.ke/images/shelving/configs/triple-bay-joint.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
grand-corner,The Grand Corner,A generous seven-tier configuration designed to turn any corner into a beautiful focal point. Built in our Nairobi workshop to hold a massive collection of books and more.,in stock,new,71000.00 KES,https://www.framework.co.ke/shelving.html?config=grand-corner,https://www.framework.co.ke/images/shelving/configs/grand-corner-populated.jpg,"https://www.framework.co.ke/images/shelving/configs/grand-corner-emptied.jpg, https://www.framework.co.ke/images/shelving/configs/grand-corner-foot.jpg",Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
bookend,The Bookend,A neat clamp-on bookend for keeping rows of books upright and tidy on your Framework shelf. It can be attached to any of our shelf units except the trimmed configurations.,in stock,new,1000.00 KES,https://www.framework.co.ke/shelving.html?config=bookend,https://www.framework.co.ke/images/shelving/configs/bookend.jpg,,Framework Designs,Furniture > Shelving,Furniture > Shelving,,,,,,,,,,,,,,,,,,Shelving,Modular furniture,
